family,seed,regime,scope,episodes,supported_episodes,declared_case_count,supported_case_count,weight_mass,nonquery_rows,episode_weighted_agreement,episode_weighted_raw_gap,episode_weighted_centered_mse,episode_weighted_first_argmin_match,evidence_scope,eligible_for_continuation
innovation_spo,295000003,lambda4,initial,18,18,6,6,1.0,52,0.6481481481481481,0.02184618843926324,0.16891515901530518,0.537037037037037,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_spo,295000003,lambda4,full,18,18,6,6,1.0,8369,0.7260827363075442,0.05398391965532714,0.36140254776896086,0.680838353768829,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_spo,295000003,lambda4,postcorrection,18,15,6,6,0.8333333333333334,8317,0.5334618608360028,0.07551435607388082,0.35171909642659194,0.5332922773330859,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_aux,295000003,lambda3,initial,18,18,6,6,1.0,54,0.7222222222222222,0.026016376636646413,0.017041579115253096,0.4444444444444444,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_aux,295000003,lambda3,full,18,18,6,6,1.0,5198,0.6770338331974369,0.07830049945421524,0.09092474545587524,0.6062524841729194,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_aux,295000003,lambda3,postcorrection,18,17,6,6,0.9444444444444444,5144,0.6221225043355096,0.08736609474257012,0.10150801753620199,0.6220546709343429,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_aux,295000003,lambda4,initial,18,18,6,6,1.0,52,0.5925925925925926,0.1050136265931306,0.052223538596548054,0.35185185185185186,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_aux,295000003,lambda4,full,18,18,6,6,1.0,8369,0.6158167579374848,0.11024889964061696,0.09991346059477411,0.4881649679913621,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_aux,295000003,lambda4,postcorrection,18,15,6,6,0.8333333333333334,8317,0.5373588779147513,0.05899767130119856,0.08633054553222459,0.5372232111124178,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_spo,295000003,lambda3,initial,18,18,6,6,1.0,54,0.8518518518518517,0.015249164016158492,0.15289138449265308,0.537037037037037,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_spo,295000003,lambda3,full,18,18,6,6,1.0,5198,0.6849699893300955,0.14447290956310668,0.46844797440551805,0.5955685577001206,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_spo,295000003,lambda3,postcorrection,18,17,6,6,0.9444444444444444,5144,0.5860071071868682,0.17435630823634166,0.5088902137254823,0.5858714403845346,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_spo,295000003,lambda4,initial,18,18,6,6,1.0,52,0.7777777777777778,0.02045098057499638,0.18586635463621487,0.5925925925925926,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_spo,295000003,lambda4,full,18,18,6,6,1.0,8369,0.7051602057685823,0.058917482928557634,0.3743437528665907,0.6089946596391181,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_spo,295000003,lambda4,postcorrection,18,15,6,6,0.8333333333333334,8317,0.5087313578446301,0.07802065719128054,0.3998498923965699,0.4882088532212483,Descriptive saved-output arithmetic only; original training parent unverified,False
hold,,lambda3,initial,18,18,6,6,1.0,54,0.1111111111111111,0.5145177841186523,0.08291343334684703,0.1111111111111111,Descriptive saved-output arithmetic only; original training parent unverified,False
hold,,lambda3,full,18,18,6,6,1.0,5198,0.32081796320687084,0.5121323317764113,0.27169211732626825,0.32081796320687084,Descriptive saved-output arithmetic only; original training parent unverified,False
hold,,lambda3,postcorrection,18,17,6,6,0.9444444444444444,5144,0.3691558786699265,0.4611559045764715,0.28485521223449123,0.3691558786699265,Descriptive saved-output arithmetic only; original training parent unverified,False
hold,,lambda4,initial,18,18,6,6,1.0,52,0.3148148148148148,0.3398937295984339,0.1009622664891286,0.24074074074074073,Descriptive saved-output arithmetic only; original training parent unverified,False
hold,,lambda4,full,18,18,6,6,1.0,8369,0.3394188949757258,0.6383424629396148,0.36951885938094664,0.26997445053128133,Descriptive saved-output arithmetic only; original training parent unverified,False
hold,,lambda4,postcorrection,18,15,6,6,0.8333333333333334,8317,0.3705635489817412,0.5417754296465715,0.3651990783499737,0.3705635489817412,Descriptive saved-output arithmetic only; original training parent unverified,False
