family,seed,scope,collector,partition,regime,case,age,declared_case_count,episode_weighted_agreement,episode_weighted_centered_mse,episode_weighted_first_argmin_match,episode_weighted_raw_gap,episodes,nonquery_rows,supported_case_count,supported_cases,supported_episode_agreement,supported_episode_centered_mse,supported_episode_raw_gap,supported_episodes,weight_mass,zero_support_cases,zero_support_episode_ids
hold,,full,all,case,lambda3,5,3,1,0.1485042735042735,0.5641058001787493,0.1485042735042735,0.9135848278673286,3,27,1,"[{""case"":5,""regime"":""lambda3""}]",0.1485042735042735,0.5641058001787493,0.9135848278673286,3,1.0,[],[]
hold,,full,all,case,lambda4,0,all,1,0.6590755735492578,0.0642441342615828,0.6590755735492578,0.10906139902311351,3,104,1,"[{""case"":0,""regime"":""lambda4""}]",0.6590755735492578,0.0642441342615828,0.10906139902311351,3,1.0,[],[]
hold,,full,all,case,lambda4,0,1,1,0.7323436797121007,0.048408843794703095,0.7323436797121007,0.08272774199135284,3,35,1,"[{""case"":0,""regime"":""lambda4""}]",0.7323436797121007,0.048408843794703095,0.08272774199135284,3,1.0,[],[]
hold,,full,all,case,lambda4,0,2,1,0.7080521817363922,0.06073407850595076,0.7080521817363922,0.0865049177711202,3,35,1,"[{""case"":0,""regime"":""lambda4""}]",0.7080521817363922,0.06073407850595076,0.0865049177711202,3,1.0,[],[]
hold,,full,all,case,lambda4,0,3,1,0.5229419703103914,0.08126658097836809,0.5229419703103914,0.16430724680665051,3,34,1,"[{""case"":0,""regime"":""lambda4""}]",0.5229419703103914,0.08126658097836809,0.16430724680665051,3,1.0,[],[]
hold,,full,all,case,lambda4,1,all,1,0.0,0.0,0.0,0.0,3,0,0,[],,,,0,0.0,"[{""case"":1,""regime"":""lambda4""}]","[""valid:lambda4:254000002:neural"",""valid:lambda4:254000002:period4_hold"",""valid:lambda4:254000002:analytic""]"
hold,,full,all,case,lambda4,1,1,1,0.0,0.0,0.0,0.0,3,0,0,[],,,,0,0.0,"[{""case"":1,""regime"":""lambda4""}]","[""valid:lambda4:254000002:neural"",""valid:lambda4:254000002:period4_hold"",""valid:lambda4:254000002:analytic""]"
hold,,full,all,case,lambda4,1,2,1,0.0,0.0,0.0,0.0,3,0,0,[],,,,0,0.0,"[{""case"":1,""regime"":""lambda4""}]","[""valid:lambda4:254000002:neural"",""valid:lambda4:254000002:period4_hold"",""valid:lambda4:254000002:analytic""]"
hold,,full,all,case,lambda4,1,3,1,0.0,0.0,0.0,0.0,3,0,0,[],,,,0,0.0,"[{""case"":1,""regime"":""lambda4""}]","[""valid:lambda4:254000002:neural"",""valid:lambda4:254000002:period4_hold"",""valid:lambda4:254000002:analytic""]"
hold,,full,all,case,lambda4,2,all,1,0.27777777777777773,0.10010955455445646,0.1111111111111111,0.5169330173068577,3,11,1,"[{""case"":2,""regime"":""lambda4""}]",0.27777777777777773,0.10010955455445646,0.5169330173068577,3,1.0,[],[]
