regime,arm,family,fit_seed,raw_found,episodes,cases_per_hit,choose_seconds,controller_seconds,environment_seconds,found,init_seconds,setup_allocation_seconds,state_bytes,steps,update_seconds
lambda4,neighbor_free@10102,neighbor_free,10102,9,24,8,5.5723665014451935,5.623773422654458,3.099555410203014,0.17255868700178076,9.624367982059082e-05,6.879160732582763e-06,22472.0,1811.3046947258374,0.0513037983687109
lambda4,cnn@10102,cnn,10102,7,24,8,18.323669166974984,18.379856398091338,3.350996413163228,0.15312147224081646,0.00010012992811788681,9.360653563851008e-06,22472.0,1853.8329111645526,0.05607774053466995
lambda4,dense128@10102,dense128,10102,4,24,8,1.4893932253951891,1.5405669550378978,3.11939998415777,0.1293421287399261,0.00011219900146999454,0.000171968265419343,22472.0,1906.184392298172,0.05088956237581933
lambda4,statistics@10102,statistics,10102,3,24,8,1.730555782409628,1.7860200008861022,3.440007660896192,0.023779343500890372,0.00010382181271314767,6.947457721387898e-06,22472.0,2136.016286407252,0.05535344920603953
lambda4,spatial@10103,spatial,10103,6,24,8,7.494869724113553,7.543501781802501,2.9293968138901527,0.2392470427188879,0.00010024891115284475,8.047576045134554e-06,22472.0,1667.7441862041849,0.04852376120174959
lambda4,neighbor_free@10103,neighbor_free,10103,6,24,8,5.606722300038891,5.657905097124275,3.1084836167856746,0.1595323007820025,9.61768299861285e-05,7.329409924784192e-06,22472.0,1839.8122244158412,0.05107929084547224
lambda4,cnn@10103,cnn,10103,9,24,8,15.676156104842523,15.723758633609341,2.866192202088525,0.2737793435008904,0.00010096312653557277,8.390163700958645e-06,22472.0,1593.4081435517082,0.04749317547658308
lambda4,dense128@10103,dense128,10103,1,24,8,1.6863796635181292,1.744251744511311,3.527002885620281,0.01509508602103821,0.00010427085091274592,0.0001641499999634646,22472.0,2154.9870468719896,0.057603660142305876
lambda4,statistics@10103,statistics,10103,3,24,8,1.696907772310069,1.751560907861965,3.370357672564288,0.04528525806311463,9.940242928073156e-05,8.64709231623069e-06,22472.0,2089.202661992305,0.054545086030299096
lambda4,analytic_inbounds,analytic_inbounds,,24,24,8,0.013276859281662313,0.014476923948273785,0.06551442778087112,1.0,0.00010911138305349693,0.0,22472.0,41.76746289158889,0.001090953283557973
lambda5,spatial@10101,spatial,10101,1,24,8,9.597096430626573,9.658422077003143,3.730717643717067,0.014383214627670525,0.00010178229016452427,9.637259602270744e-06,22472.0,2156.5439096092846,0.06121422682680195
lambda5,neighbor_free@10101,neighbor_free,10101,11,24,8,4.85079341978094,4.895121824024445,2.7035005412054716,0.27996416032935073,9.695143851165375e-05,1.724317704361898e-05,22472.0,1584.201361168758,0.04421420962794908
lambda5,cnn@10101,cnn,10101,3,24,8,21.15633885768904,21.21994027831458,3.82196745004184,0.011685709276260142,9.574375415463091e-05,9.849064345299093e-06,22472.0,2162.6770679983442,0.06349582780703986
lambda5,dense128@10101,dense128,10101,2,24,8,1.6428467222320984,1.699271840118671,3.49526291753265,0.01827845105309057,0.00010149115832325572,0.0001964341320908042,22472.0,2148.0328180197416,0.05612719259615874
lambda5,statistics@10101,statistics,10101,10,24,8,1.393271969249972,1.4399919637103182,2.908127146626564,0.18373058958469177,9.794353364808047e-05,9.17895188279174e-06,22472.0,1791.4393935728042,0.04661287197481555
lambda5,spatial@10102,spatial,10102,14,24,8,5.643254867861845,5.679316899138757,2.199232037060489,0.4259401167338516,9.77275746092834e-05,7.938772991851525e-06,22472.0,1269.7259098792297,0.03595636492931024
lambda5,neighbor_free@10102,neighbor_free,10102,7,24,8,5.76163703134156,5.813918157835396,3.1967922193534792,0.14058094570168017,9.646336956653436e-05,6.879160732582763e-06,22472.0,1883.7144605343601,0.052177783963536624
lambda5,cnn@10102,cnn,10102,6,24,8,20.452100799678718,20.51332165061801,3.7415872726247357,0.044347374957021235,9.369801945681699e-05,9.360653563851007e-06,22472.0,2091.7916716225004,0.061117792266270586
lambda5,dense128@10102,dense128,10102,4,24,8,1.4466525593288682,1.4961471678258471,3.059403403140428,0.13938321462767053,9.91702292816847e-05,0.000171968265419343,22472.0,1883.8889454489552,0.049223470002278086
lambda5,statistics@10102,statistics,10102,4,24,8,1.5246010155743905,1.5725056259966173,3.043097075522303,0.13938321462767053,9.815588506544106e-05,6.947457721387898e-06,22472.0,1885.4705441530518,0.04779950707944001
lambda5,spatial@10103,spatial,10103,3,24,8,9.281182902545996,9.34019714764929,3.585129849595826,0.043149643883011575,9.467994105248861e-05,8.047576045134554e-06,22472.0,2093.746794544875,0.058911517586194846
lambda5,neighbor_free@10103,neighbor_free,10103,5,24,8,5.011572997669058,5.056929051409844,2.7691567120430363,0.24610476357457994,9.578227693556901e-05,7.329409924784192e-06,22472.0,1652.7378609028,0.045252942053925986
lambda5,cnn@10103,cnn,10103,5,24,8,20.104467758965804,20.165165205957713,3.6415623237374053,0.06142809493610215,0.00010324781479515066,8.390163700958645e-06,22472.0,2054.8988058002237,0.06058580901341528
lambda5,dense128@10103,dense128,10103,2,24,8,1.6374511764559865,1.693504993962064,3.4875569011096497,0.01827845105309057,9.700724912933283e-05,0.00016414999996346456,22472.0,2148.0328180197416,0.05579266025698493
lambda5,statistics@10103,statistics,10103,5,24,8,1.6728781669678767,1.7266396829324175,3.3971818410981696,0.04045213853160119,9.342538698602722e-05,8.64709231623069e-06,22472.0,2099.915322546706,0.05365944348523893
lambda5,analytic_inbounds,analytic_inbounds,,24,24,8,0.0166062188527491,0.01802357343104318,0.08447444165577231,1.0,9.686521994730474e-05,0.0,22472.0,52.50706593618107,0.0013204893583467787
