family,seed,regime,scope,metric,raw_value,display_value,episodes,supported_episodes,supported_cases,weight_mass
innovation_shared_aux,285000003,lambda3,full,episode_weighted_agreement,0.7221094058784129,72.21094058784129,18,18,6,1.0
innovation_shared_aux,285000003,lambda3,postcorrection,episode_weighted_raw_gap,0.12193441401035436,0.12193441401035436,18,15,6,0.8333333333333334
innovation_shared_aux,285000003,lambda3,prior,episode_weighted_centered_mse,0.0920856266069665,0.0920856266069665,18,17,6,0.9444444444444444
innovation_shared_aux,285000003,lambda4,initial,episode_weighted_agreement,0.537037037037037,53.703703703703695,18,16,6,0.8888888888888888
innovation_shared_aux,285000003,lambda4,full,episode_weighted_agreement,0.5820009340961225,58.20009340961225,18,16,6,0.8888888888888888
innovation_shared_aux,285000003,lambda4,postcorrection,episode_weighted_raw_gap,0.11801872338632152,0.11801872338632152,18,14,6,0.7777777777777778
innovation_shared_aux,285000003,lambda4,prior,episode_weighted_centered_mse,0.0880061950924153,0.0880061950924153,18,14,6,0.7777777777777778
innovation_separate_mse,285000003,lambda3,initial,episode_weighted_agreement,0.7407407407407407,74.07407407407408,18,18,6,1.0
innovation_separate_mse,285000003,lambda3,full,episode_weighted_agreement,0.6604131433431344,66.04131433431344,18,18,6,1.0
innovation_separate_mse,285000003,lambda3,postcorrection,episode_weighted_raw_gap,0.13882751080894265,0.13882751080894265,18,15,6,0.8333333333333334
innovation_separate_mse,285000003,lambda3,prior,episode_weighted_centered_mse,74.24880567662785,74.24880567662785,18,17,6,0.9444444444444444
innovation_separate_mse,285000003,lambda4,initial,episode_weighted_agreement,0.7407407407407408,74.07407407407408,18,16,6,0.8888888888888888
innovation_separate_mse,285000003,lambda4,full,episode_weighted_agreement,0.6234418773122,62.34418773122,18,16,6,0.8888888888888888
innovation_separate_mse,285000003,lambda4,postcorrection,episode_weighted_raw_gap,0.09253320005172598,0.09253320005172598,18,14,6,0.7777777777777778
innovation_separate_mse,285000003,lambda4,prior,episode_weighted_centered_mse,57.274953254952116,57.274953254952116,18,14,6,0.7777777777777778
innovation_separate_aux,285000003,lambda3,initial,episode_weighted_agreement,0.7592592592592592,75.92592592592592,18,18,6,1.0
innovation_separate_aux,285000003,lambda3,full,episode_weighted_agreement,0.6206319030811115,62.063190308111146,18,18,6,1.0
innovation_separate_aux,285000003,lambda3,postcorrection,episode_weighted_raw_gap,0.153355218220701,0.153355218220701,18,15,6,0.8333333333333334
