recording,arm,seed,learning_rate,horizon,status,standardized_rmse,physical_rmse_deg,standardized_sse,scalars,windows,per_joint_rmse_deg,error
recording_2021_12_15_21H_54M.mat,dense_unbounded,8103,0.001,128,PASS,0.6299153531492597,18.319152115751223,6704.220477641814,16896,22,"[8.39210454974934, 4.369827690149209, 14.28691973290304, 31.126473547627775, 22.88034402904011, 15.08448271475886]",null
recording_2021_12_15_21H_54M.mat,gru32,8103,0.001,64,PASS,0.6333327629385572,17.66223609549084,3388.5805629889956,8448,22,"[13.91958122240388, 5.423958215081698, 12.586842401720352, 24.194429345879783, 21.71478038343625, 20.81400343787145]",null
recording_2021_12_15_21H_54M.mat,gru32,8103,0.001,128,PASS,0.7365319713170962,20.752190281851906,9165.7310092719,16896,22,"[16.015377282676056, 5.789577528401371, 14.15035947511289, 28.527593936339418, 26.051160441716394, 24.51916886987954]",null
recording_2021_12_15_21H_54M.mat,dense_bounded,8103,0.003,64,PASS,0.5944247898356025,17.89214856502598,2985.0233383542554,8448,22,"[10.368931980088293, 3.850542539706624, 11.822140489069493, 32.10337048013986, 20.316230252684903, 14.672894730470139]",null
recording_2021_12_15_21H_54M.mat,dense_bounded,8103,0.003,128,PASS,0.6665147153117392,20.095475607944845,7505.910563324893,16896,22,"[11.88548510125358, 4.247173893109304, 13.486675573238598, 34.22259321906679, 22.587880468993827, 20.00942149462468]",null
recording_2021_12_15_21H_54M.mat,dense_unbounded,8103,0.003,64,PASS,0.5460353361636656,15.491599199343687,2518.8099622909754,8448,22,"[8.79433570616811, 3.706667992292698, 11.98191499241306, 24.218507221982925, 20.628270823475482, 13.900726969747415]",null
recording_2021_12_15_21H_54M.mat,dense_unbounded,8103,0.003,128,PASS,0.6443968104785538,18.8585945422149,7016.017525100951,16896,22,"[10.595652120566498, 3.994296864819484, 12.886819050990066, 31.68041198662858, 23.98770311804784, 16.140903554835187]",null
recording_2021_12_15_21H_54M.mat,gru32,8103,0.003,64,PASS,0.6418336580512338,18.961349028836523,3480.1573560435527,8448,22,"[11.330599907875513, 5.217760124404763, 10.22775032023849, 31.269367060884207, 22.280386973910563, 20.561935469778344]",null
recording_2021_12_15_21H_54M.mat,gru32,8103,0.003,128,PASS,0.7774813658745969,23.519887314499844,10213.248026272538,16896,22,"[14.514508202918861, 5.336177930685073, 10.422778592990214, 41.393779405688264, 27.538581851515847, 22.349766776460545]",null
recording_2021_12_15_21H_54M.mat,legacy_instant,8101,0.001,64,PASS,0.5632404210260593,16.96529350978547,2680.041592822071,8448,22,"[6.678051693037522, 4.025509527067416, 13.9767904824369, 32.09661082064893, 18.097480384441376, 10.633160736311936]",null
