recording,arm,seed,learning_rate,horizon,status,error_type,error_message,standardized_rmse,standardized_sse,scalars,physical_rmse_deg,windows,joint_1_rmse_deg,joint_2_rmse_deg,joint_3_rmse_deg,joint_4_rmse_deg,joint_5_rmse_deg,joint_6_rmse_deg
recording_2021_12_15_22H_50M.mat,local_affine,8102,0.003,128,PASS,,,0.6105317042162262,6297.966459471152,16896,17.694925134607576,22,9.903388093450268,4.396948265092352,13.850687569899902,27.525990562568,21.459835172619435,18.740484921560967
recording_2021_12_15_22H_50M.mat,local_affine,8103,0.003,64,PASS,,,0.5995077436096486,3036.291748705731,8448,17.29405295362174,22,8.978959476266247,4.436572015781097,12.402395488155744,30.274900639521874,21.97055553749484,11.878820970311024
recording_2021_12_15_22H_50M.mat,local_affine,8103,0.003,128,PASS,,,0.6680892765635938,7541.416083535762,16896,20.258675009733906,22,10.330837877510959,4.967172291409846,12.961240729397836,36.1411462034368,22.084970585416748,19.21359755938015
recording_2021_12_15_22H_50M.mat,temporal_affine,8101,0.003,64,PASS,,,0.5546949636326273,2599.335574635586,8448,15.901376709877981,22,8.148011435260432,4.185792486344486,13.54018091258014,27.08345682470455,19.339390951390186,11.931033628193287
recording_2021_12_15_22H_50M.mat,temporal_affine,8101,0.003,128,PASS,,,0.6290440351606356,6685.686343500172,16896,18.674098559914384,22,10.900677741125628,5.035993238756591,14.809537779659355,31.825056841954954,19.18283662007166,18.654968935983813
recording_2021_12_15_22H_50M.mat,temporal_affine,8102,0.003,64,PASS,,,0.551657253572205,2570.9437283382595,8448,14.835908381270889,22,7.046486738360876,3.6353837887488982,12.534585338644174,21.257801845173276,23.186685519455757,10.541523611928387
recording_2021_12_15_22H_50M.mat,temporal_affine,8102,0.003,128,PASS,,,0.5951553472819113,5984.730257480873,16896,17.093747498364458,22,9.25752905150088,4.0297008140405355,13.489385327327339,25.72918236373058,21.89914167790813,18.102766103352106
recording_2021_12_15_22H_50M.mat,temporal_affine,8103,0.003,64,PASS,,,0.6302336586613487,3355.4988361776873,8448,18.958303583191373,22,9.258044382084694,4.600898098938905,11.739475131957873,36.09724572496131,21.81143954530301,11.535106374746105
recording_2021_12_15_22H_50M.mat,temporal_affine,8103,0.003,128,PASS,,,0.6869372874691623,7972.932412524127,16896,20.99098808784532,22,12.155382797339639,5.265141353581677,12.951700730149957,37.76580363374746,21.407087114451297,20.395798252813783
recording_2021_12_15_22H_50M.mat,dense_bounded,8101,0.001,64,PASS,,,0.6479845835563782,3547.180205409839,8448,17.723260285523224,22,8.354015287642717,7.026083311883672,12.438289939100407,29.267961403439593,22.524913215921092,15.710887182193026
