model,family,seed,collector,regime,age,episode_weighted_agreement,episode_weighted_centered_mse,episode_weighted_first_argmin_match,episode_weighted_raw_gap,episodes,nonquery_rows,supported_episode_agreement,supported_episode_centered_mse,supported_episode_raw_gap,supported_episodes,weight_mass,zero_support_episode_ids
residual_gru@235003,residual_gru,235003,neural,lambda3,3,0.7301587301587302,0.0838838216017127,0.7301587301587302,0.13773782404642257,6,51,0.7301587301587302,0.0838838216017127,0.13773782404642257,6,1.0,[]
residual_gru@235003,residual_gru,235003,neural,lambda4,all,0.6055555555555555,0.11815672193838472,0.6055555555555555,0.20585110511308835,6,137,0.6055555555555555,0.11815672193838472,0.20585110511308835,6,1.0,[]
residual_gru@235003,residual_gru,235003,neural,lambda4,1,0.7925925925925926,0.05814444426078153,0.7925925925925926,0.06045263608296713,6,46,0.7925925925925926,0.05814444426078153,0.06045263608296713,6,1.0,[]
residual_gru@235003,residual_gru,235003,neural,lambda4,2,0.5370370370370371,0.1215464510032439,0.5370370370370371,0.22654255584434227,6,46,0.5370370370370371,0.1215464510032439,0.22654255584434227,6,1.0,[]
residual_gru@235003,residual_gru,235003,neural,lambda4,3,0.4537037037037037,0.17777015067411905,0.4537037037037037,0.3739655159137867,6,45,0.4537037037037037,0.17777015067411905,0.3739655159137867,6,1.0,[]
residual_gru@235003,residual_gru,235003,period4_hold,all,all,0.6806370616453964,0.07061056356298512,0.5304707823055703,0.04290072864874048,12,6726,0.6806370616453964,0.07061056356298512,0.04290072864874048,12,1.0,[]
residual_gru@235003,residual_gru,235003,period4_hold,all,1,0.6524697000473966,0.031946370869443755,0.5064840205836549,0.018006249997714125,12,2243,0.6524697000473966,0.031946370869443755,0.018006249997714125,12,1.0,[]
residual_gru@235003,residual_gru,235003,period4_hold,all,2,0.85345233258853,0.07318880498952925,0.6900264066626041,0.0419332171949022,12,2242,0.85345233258853,0.07318880498952925,0.0419332171949022,12,1.0,[]
residual_gru@235003,residual_gru,235003,period4_hold,all,3,0.4505052813325208,0.10233802462509496,0.3924825648317422,0.06903105604437922,12,2241,0.4914603069082046,0.11164148140919451,0.07530660659386824,11,0.9166666666666666,"[""valid:lambda3:23300006:period4_hold""]"
residual_gru@235003,residual_gru,235003,period4_hold,lambda3,all,0.6963927275745404,0.057650161764665774,0.42692436642575227,0.057928588473779324,6,1713,0.6963927275745404,0.057650161764665774,0.057928588473779324,6,1.0,[]
residual_gru@235003,residual_gru,235003,period4_hold,lambda3,1,0.7600548446069469,0.026787312106549246,0.46808348567946373,0.021542250105164144,6,572,0.7600548446069469,0.026787312106549246,0.021542250105164144,6,1.0,[]
residual_gru@235003,residual_gru,235003,period4_hold,lambda3,2,0.8120607353239895,0.0627298441753427,0.5315051797684339,0.06851766623788168,6,571,0.8120607353239895,0.0627298441753427,0.06851766623788168,6,1.0,[]
residual_gru@235003,residual_gru,235003,period4_hold,lambda3,3,0.3460948608572009,0.07471634860233066,0.27634572415193986,0.08426252365984037,6,570,0.4153138330286411,0.08965961832279679,0.10111502839180844,5,0.8333333333333334,"[""valid:lambda3:23300006:period4_hold""]"
residual_gru@235003,residual_gru,235003,period4_hold,lambda4,all,0.6648813957162525,0.08357096536130447,0.6340171981853883,0.027872868823701633,6,5013,0.6648813957162525,0.08357096536130447,0.027872868823701633,6,1.0,[]
residual_gru@235003,residual_gru,235003,period4_hold,lambda4,1,0.5448845554878462,0.03710542963233827,0.5448845554878462,0.014470249890264108,6,1671,0.5448845554878462,0.03710542963233827,0.014470249890264108,6,1.0,[]
residual_gru@235003,residual_gru,235003,period4_hold,lambda4,2,0.8948439298530707,0.0836477658037158,0.8485476335567744,0.015348768151922728,6,1671,0.8948439298530707,0.0836477658037158,0.015348768151922728,6,1.0,[]
residual_gru@235003,residual_gru,235003,period4_hold,lambda4,3,0.5549157018078408,0.1299597006478593,0.5086194055115444,0.05379958842891807,6,1671,0.5549157018078408,0.1299597006478593,0.05379958842891807,6,1.0,[]
direct_gru@235003,direct_gru,235003,all,all,all,0.7196771966573863,0.07319398263195988,0.6917748006142378,0.08870738317923897,36,7257,0.7196771966573863,0.07319398263195988,0.08870738317923897,36,1.0,[]
direct_gru@235003,direct_gru,235003,all,all,1,0.7972345568361717,0.04628665507850892,0.752706261565189,0.03413632367339833,36,2422,0.7972345568361717,0.04628665507850892,0.03413632367339833,36,1.0,[]
direct_gru@235003,direct_gru,235003,all,all,2,0.7271331151244315,0.07110049525226746,0.7004355842602339,0.08640580675670234,36,2420,0.7271331151244315,0.07110049525226746,0.08640580675670234,36,1.0,[]
direct_gru@235003,direct_gru,235003,all,all,3,0.6069875881620165,0.10133860866918501,0.5945911271062013,0.14503924047667904,36,2415,0.6243300906809311,0.10423399748830457,0.14918321877601273,35,0.9722222222222222,"[""valid:lambda3:23300006:period4_hold""]"
