recording,arm,seed,learning_rate,horizon,status,standardized_rmse,physical_rmse_deg,standardized_sse,scalars,windows,per_joint_rmse_deg,error
recording_2021_12_15_21H_54M.mat,persistence,,,64,PASS,1.1373568827339755,32.675368891449345,10928.169573677422,8448,22,"[20.8189388894093, 10.447661965068235, 29.656910117358812, 49.01927058803764, 32.264521883302216, 39.24380151165329]",null
recording_2021_12_15_21H_54M.mat,persistence,,,128,PASS,1.2329376342156586,35.41623169008753,25684.2045058842,16896,22,"[26.93241108668039, 11.103634496979767, 31.105734039379048, 53.328174692174436, 33.63462167147826, 41.6468805033482]",null
recording_2021_12_15_22H_10M.mat,lpv_recurrent,8101,0.001,64,PASS,0.5801222522329494,16.855645845341204,2843.10535902269,8448,22,"[8.732950376960124, 5.430991540920277, 14.262511313200818, 28.441243511271878, 17.181700373718837, 17.0699238609467]",null
recording_2021_12_15_22H_10M.mat,lpv_recurrent,8101,0.001,128,PASS,0.7008071944523161,20.634030920803728,8298.144709259352,16896,22,"[12.398471890286512, 6.2669145518838665, 15.305900170409375, 33.86414884038541, 21.111355198862142, 23.12666413442349]",null
recording_2021_12_15_22H_10M.mat,lpv_instant,8101,0.001,64,PASS,0.6377212535684517,18.809817191131057,3435.703579992646,8448,22,"[9.046512467798275, 5.1859268858199075, 13.567391655573356, 32.08055124710833, 21.43825697192923, 18.4739645024824]",null
recording_2021_12_15_22H_10M.mat,lpv_instant,8101,0.001,128,PASS,0.7002290926792969,20.86658090284439,8284.459936633628,16896,22,"[12.329785835887636, 5.326957588298953, 14.01707811304889, 33.576629934942886, 23.153400564972266, 23.91937668932523]",null
recording_2021_12_15_22H_10M.mat,lpv_constant,8101,0.001,64,PASS,0.6858281602706325,20.993097275727212,3973.603522269854,8448,22,"[12.203797000835856, 6.858281071042334, 13.00111485050301, 33.696094859290085, 17.163042128458894, 29.14217403791872]",null
recording_2021_12_15_22H_10M.mat,lpv_constant,8101,0.001,128,PASS,0.7513907867604945,23.16037330394495,9539.280781384865,16896,22,"[14.655395417848721, 7.007830947413786, 13.857825743239806, 35.9493978196526, 19.201699459033676, 33.18769711785959]",null
recording_2021_12_15_22H_10M.mat,gru_residual,8101,0.001,64,PASS,0.6939562573995293,20.920398296181553,4068.3480261301083,8448,22,"[15.388662281509347, 5.8722699918720656, 13.402901939501026, 36.33802893102989, 19.290793165077115, 21.964951163693385]",null
recording_2021_12_15_22H_10M.mat,gru_residual,8101,0.001,128,PASS,0.7647161371373455,23.339860506823534,9880.624856649061,16896,22,"[18.102866867187398, 6.092116220673999, 14.152135978891902, 40.90155801116802, 20.694303160248527, 24.539606317467957]",null
