arm,seed,value_head,reward_condition,group,entropy_nats,raw_advantage_std,normalization_divisor,norm_actor_normalized,norm_actor_raw,norm_actor_centered_raw,norm_entropy_weighted,norm_critic_weighted,cosine_actor_normalized__actor_raw,cosine_actor_normalized__actor_centered_raw,cosine_actor_normalized__entropy_weighted,cosine_actor_normalized__critic_weighted,cosine_actor_raw__actor_centered_raw,cosine_actor_raw__entropy_weighted,cosine_actor_raw__critic_weighted,cosine_actor_centered_raw__entropy_weighted,cosine_actor_centered_raw__critic_weighted,cosine_entropy_weighted__critic_weighted,actor_to_entropy_norm_ratio
feedforward,127,zero,actual,value_head,1.9459091424942017,0.0,9.99999993922529e-09,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
feedforward,127,zero,synthetic_all_zero,all,1.9459091424942017,0.0,9.99999993922529e-09,0.0,0.0,0.0,8.386002326638936e-06,0.0,,,,,,,,,,,0.0
feedforward,127,zero,synthetic_all_zero,shared_trunk,1.9459091424942017,0.0,9.99999993922529e-09,0.0,0.0,0.0,3.2462345953912726e-07,0.0,,,,,,,,,,,0.0
feedforward,127,zero,synthetic_all_zero,actor_head,1.9459091424942017,0.0,9.99999993922529e-09,0.0,0.0,0.0,8.379716858695784e-06,0.0,,,,,,,,,,,0.0
feedforward,127,zero,synthetic_all_zero,value_head,1.9459091424942017,0.0,9.99999993922529e-09,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
fast_global,101,original,actual,all,1.9459092617034912,0.044036051637472456,0.04403606429696083,0.06409966928151392,0.002740674801256992,0.0028226971623480975,9.458931392993516e-06,0.045153988574702805,0.9960816135006242,0.99999999999997,-0.39546070160177815,0.009387189795363723,0.9960816087548517,-0.405108178071574,0.009053636070862852,-0.39546073816057314,0.009387189259802245,-0.004208751437971484,6776.629052304393
fast_global,101,original,actual,shared_trunk,1.9459092617034912,0.044036051637472456,0.04403606429696083,0.0021073835691304385,9.020005831955815e-05,9.28008763370434e-05,3.0854962022731097e-07,0.0434664612280501,0.9952805929148391,0.9999999999999538,-0.30093874792078285,0.2966126252024038,0.9952805920733072,-0.32287421935368665,0.28576929032460047,-0.30093876701588845,0.2966126151772685,-0.13403313377120527,6829.966498023599
fast_global,101,original,actual,actor_head,1.9459092617034912,0.044036051637472456,0.04403606429696083,0.06406501804020671,0.002739190083897829,0.002821171258126504,9.45389762104582e-06,0.0,0.996082481773263,0.9999999999999705,-0.3955621920908962,,0.9960824770232669,-0.40519657452349134,,-0.39556222866600077,,,6776.572013810282
fast_global,101,original,actual,value_head,1.9459092617034912,0.044036051637472456,0.04403606429696083,0.0,0.0,0.0,0.0,0.012229040539421287,,,,,,,,,,,
fast_global,101,original,synthetic_all_zero,all,1.9459092617034912,0.044036051637472456,0.04403606429696083,0.06409966928151392,0.002740674801256992,0.0028226971623480975,9.458931392993516e-06,0.045153988574702805,0.9960816135006242,0.99999999999997,-0.39546070160177815,0.009387189795363723,0.9960816087548517,-0.405108178071574,0.009053636070862852,-0.39546073816057314,0.009387189259802245,-0.004208751437971484,6776.629052304393
