group,method,rows,dialogues,distinct_schema_queries,dialogue_query_streams,accuracy,nll,brier,equal_dialogue_accuracy,equal_dialogue_nll,equal_dialogue_brier
unseen/value/none/retained,candidate,17953,1352,16,4491,0.9753430253068197,0.09236802293032288,0.03915709250047764,0.9654682557533792,0.12044260291577302,0.053600619842265294
unseen/value/other,mean,8641,1338,12,2227,0.9160976738803379,0.33069340750814297,0.13372952022079254,0.8888343187216027,0.432129622806052,0.17541897905670092
unseen/value/other,slot,8641,1338,12,2227,0.9222312232380512,0.3616389023675736,0.12696728258547443,0.8896537905403208,0.5334114111343441,0.18072056590999605
unseen/value/other,candidate,8641,1338,12,2227,0.9129730355282953,0.42565194161912395,0.14149091865379923,0.8850781768080426,0.5255843214633112,0.1857685191486216
unseen/value/other/changed,mean,1650,1115,12,1534,0.708080808080808,1.2432018020337454,0.47481690100049456,0.704225211758844,1.172852215051088,0.47377268079905704
unseen/value/other/changed,slot,1650,1115,12,1534,0.7189898989898991,1.295102882418876,0.454989823466689,0.7096163428001993,1.3325409761192162,0.47313191321383036
unseen/value/other/changed,candidate,1650,1115,12,1534,0.708888888888889,1.3331773582806365,0.46749773009794565,0.7094967613353264,1.228384364398157,0.4672634062595054
unseen/value/other/retained,mean,6991,1250,12,1988,0.9651933438230106,0.11532524115608399,0.05322684845902623,0.9718060163010938,0.10107129517212994,0.0441986432698683
unseen/value/other/retained,slot,6991,1250,12,1988,0.9701997806703857,0.14132484614033156,0.0495481447719994,0.9747388301516166,0.13450610121237822,0.04378875435841253
unseen/value/other/retained,candidate,6991,1250,12,1988,0.961140513994183,0.21145984642651974,0.0645475287406478,0.9671932355134832,0.2023654107894661,0.055914694159313556
unseen/value/true,mean,473,79,3,80,0.9344608879492601,0.478909606406514,0.12947075383783488,0.9264767932489453,0.5123725158989291,0.14327723109705992
unseen/value/true,slot,473,79,3,80,0.9330514446793517,0.698411389440433,0.13559577740438253,0.9254219409282701,0.7479538911753583,0.15050406208246309
unseen/value/true,candidate,473,79,3,80,0.9344608879492601,0.5399631723333175,0.13029318153000824,0.9264767932489453,0.6162556144776888,0.14606379781717485
