anchor_id,episode_id,regime,case,schedule,preaction_step,weight,same_action,half_a,half_b,mean_advantage,paired_standard_error,physical_records,tied_replicates,both_censored_replicates,analytic_censored_fraction,neural_censored_fraction
285,train:shift:19600008:never,shift,7,never,0,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,2,0.125,0.125
286,train:shift:19600008:never,shift,7,never,4,0.006944444444444444,False,5.5,-0.125,2.6875,2.190355279401038,32,7,4,0.5,0.25
287,train:shift:19600008:never,shift,7,never,8,0.006944444444444444,False,3.5,0.625,2.0625,2.078598786843355,32,1,0,0.1875,0.0625
288,train:shift:19600008:never,shift,7,never,16,0.006944444444444444,False,0.25,2.0,1.125,1.2808688457449497,32,1,1,0.125,0.125
290,train:shift:19600008:period2,shift,7,period2,0,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,5,0.3125,0.3125
291,train:shift:19600008:period2,shift,7,period2,4,0.006944444444444444,False,3.125,-1.625,0.75,2.0544666785648613,32,3,1,0.125,0.125
292,train:shift:19600008:period2,shift,7,period2,8,0.006944444444444444,False,0.375,-6.0,-2.8125,1.5974426176444232,32,4,1,0.125,0.1875
293,train:shift:19600008:period2,shift,7,period2,16,0.006944444444444444,False,0.0,4.875,2.4375,3.08351632339877,32,2,0,0.125,0.125
295,train:shift:19600008:always,shift,7,always,0,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,4,0.25,0.25
296,train:shift:19600008:always,shift,7,always,4,0.006944444444444444,False,-1.625,0.875,-0.375,2.03280389282062,32,6,5,0.4375,0.3125
297,train:shift:19600008:always,shift,7,always,8,0.006944444444444444,False,3.0,1.25,2.125,1.220911544707478,32,3,2,0.3125,0.125
298,train:shift:19600008:always,shift,7,always,16,0.006944444444444444,False,-0.25,-2.5,-1.375,1.9362226972467123,32,3,2,0.25,0.125
300,train:shift:19600009:period2,shift,8,period2,0,0.027777777777777776,False,0.0,0.25,0.125,1.596545750466717,32,3,1,0.0625,0.0625
305,train:shift:19600009:always,shift,8,always,0,0.027777777777777776,False,-1.25,1.125,-0.0625,1.2795466319495095,32,1,0,0.0,0.0625
310,train:shift:19600009:never,shift,8,never,0,0.013888888888888888,False,-2.125,3.0,0.4375,1.4803399102908763,32,5,2,0.125,0.25
311,train:shift:19600009:never,shift,8,never,4,0.013888888888888888,True,0.0,0.0,0.0,0.0,16,16,2,0.125,0.125
315,train:shift:19600010:always,shift,9,always,0,0.005555555555555556,False,1.75,-2.375,-0.3125,1.8205281971633032,32,7,5,0.4375,0.4375
316,train:shift:19600010:always,shift,9,always,4,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,14,0.875,0.875
317,train:shift:19600010:always,shift,9,always,8,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,3,0.1875,0.1875
318,train:shift:19600010:always,shift,9,always,16,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,6,0.375,0.375
319,train:shift:19600010:always,shift,9,always,32,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,1,0.0625,0.0625
320,train:shift:19600010:never,shift,9,never,0,0.005555555555555556,False,1.375,-3.0,-0.8125,2.264248863677901,32,10,9,0.6875,0.75
321,train:shift:19600010:never,shift,9,never,4,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,15,0.9375,0.9375
322,train:shift:19600010:never,shift,9,never,8,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,6,0.375,0.375
323,train:shift:19600010:never,shift,9,never,16,0.005555555555555556,False,0.5,-2.75,-1.125,1.2277180729575772,32,7,7,0.5,0.5
324,train:shift:19600010:never,shift,9,never,32,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
325,train:shift:19600010:period2,shift,9,period2,0,0.005555555555555556,False,-1.5,-5.5,-3.5,1.5329709716755893,32,11,8,0.5,0.5625
326,train:shift:19600010:period2,shift,9,period2,4,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,13,0.8125,0.8125
327,train:shift:19600010:period2,shift,9,period2,8,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,7,0.4375,0.4375
