family,seed,regime,scope,episodes,supported_episodes,declared_case_count,supported_case_count,weight_mass,nonquery_rows,episode_weighted_raw_gap,episode_weighted_agreement,episode_weighted_centered_mse,episode_weighted_first_argmin_match
joint_aux,301000002,lambda4,full,18,15,6,5,0.8333333333333334,3560,0.05970365410755683,0.5646557719465096,0.053045160941196864,0.5560200929836965
joint_aux,301000002,lambda4,postcorrection,18,13,6,5,0.7222222222222222,3516,0.0730143520312069,0.4656461014506992,0.05835720166772524,0.4613603871649849
joint_spo,301000002,lambda3,initial,18,18,6,6,1.0,54,0.03803178999159071,0.8518518518518519,0.10014372498701968,0.48148148148148145
joint_spo,301000002,lambda3,full,18,18,6,6,1.0,3631,0.11766413082526343,0.727023318507371,0.27632583717078574,0.6256269772271318
joint_spo,301000002,lambda3,postcorrection,18,17,6,6,0.9444444444444444,3577,0.12840068286734477,0.6581888788262602,0.31080125220885524,0.6341145580852728
joint_spo,301000002,lambda4,initial,18,15,6,5,0.8333333333333334,44,0.05275459642763491,0.5740740740740741,0.1076673604691944,0.5185185185185185
joint_spo,301000002,lambda4,full,18,15,6,5,0.8333333333333334,3560,0.09676967764138342,0.5481559051420076,0.21375598020649333,0.5280264673556534
joint_spo,301000002,lambda4,postcorrection,18,13,6,5,0.7222222222222222,3516,0.08058645002463027,0.47936007372788986,0.19797927846821808,0.4608076385087879
pretrained,301000003,lambda3,initial,18,18,6,6,1.0,54,0.037285575160273796,0.8518518518518517,0.04015414842840275,0.537037037037037
pretrained,301000003,lambda3,full,18,18,6,6,1.0,3631,0.15446578873727407,0.6684347029006926,0.11178461581276272,0.5851710776698362
pretrained,301000003,lambda3,postcorrection,18,17,6,6,0.9444444444444444,3577,0.17321030745043148,0.6082863152974199,0.12470963177150574,0.5965352268796649
pretrained,301000003,lambda4,initial,18,15,6,5,0.8333333333333334,44,0.017464805532384803,0.5277777777777778,0.03888358156291624,0.4351851851851852
pretrained,301000003,lambda4,full,18,15,6,5,0.8333333333333334,3560,0.07595098368633044,0.5706435378434502,0.07979290217065182,0.5369993252064149
pretrained,301000003,lambda4,postcorrection,18,13,6,5,0.7222222222222222,3516,0.08715377484442281,0.5068444135685515,0.08183750870601336,0.4823850457758504
frozen_aux,301000003,lambda3,initial,18,18,6,6,1.0,54,0.04423342810736762,0.8333333333333334,0.01931642359334386,0.537037037037037
frozen_aux,301000003,lambda3,full,18,18,6,6,1.0,3631,0.14847228477552266,0.6778212769725385,0.09820057541729485,0.6075662069924705
frozen_aux,301000003,lambda3,postcorrection,18,17,6,6,0.9444444444444444,3577,0.16345553750432065,0.6269726440289985,0.11424690072234495,0.6224942828839707
frozen_aux,301000003,lambda4,initial,18,15,6,5,0.8333333333333334,44,0.036967833836873375,0.45370370370370366,0.019309049303801003,0.32407407407407407
frozen_aux,301000003,lambda4,full,18,15,6,5,0.8333333333333334,3560,0.07725077382223206,0.5451801028366229,0.060769723682529767,0.5155718535591342
frozen_aux,301000003,lambda4,postcorrection,18,13,6,5,0.7222222222222222,3516,0.08571515119705006,0.48260676743435366,0.06323125687051799,0.4767337515613378
frozen_spo,301000003,lambda3,initial,18,18,6,6,1.0,54,0.07765121813173648,0.7777777777777778,0.06077606295543689,0.7222222222222222
frozen_spo,301000003,lambda3,full,18,18,6,6,1.0,3631,0.15110324423867086,0.7009373917914093,0.1560075782655228,0.6620448162194985
frozen_spo,301000003,lambda3,postcorrection,18,17,6,6,0.9444444444444444,3577,0.15894043677626837,0.6273017285993687,0.172816474596885,0.6076718523028258
frozen_spo,301000003,lambda4,initial,18,15,6,5,0.8333333333333334,44,0.027297929481223778,0.5462962962962963,0.04410139556901211,0.5462962962962963
frozen_spo,301000003,lambda4,full,18,15,6,5,0.8333333333333334,3560,0.07196307726136039,0.5655663352438572,0.09688301052245203,0.5655663352438572
