candidate,control,seed,regime,scope,direction,candidate_episode_weighted_raw_gap,control_episode_weighted_raw_gap,delta_episode_weighted_raw_gap,candidate_episode_weighted_agreement,control_episode_weighted_agreement,delta_episode_weighted_agreement,candidate_episode_weighted_centered_mse,control_episode_weighted_centered_mse,delta_episode_weighted_centered_mse,candidate_episode_weighted_first_argmin_match,control_episode_weighted_first_argmin_match,delta_episode_weighted_first_argmin_match
frozen_spo,joint_aux,301000001,lambda4,full,frozen_spo minus control,0.06998234233254219,0.05344366272669084,0.01653867960585135,0.5660346742029216,0.5510874312683736,0.014947242934548077,0.09954481476563562,0.05713048255316136,0.04241433221247426,0.5660346742029216,0.5510874312683736,0.014947242934548077
frozen_spo,joint_aux,301000002,lambda4,full,frozen_spo minus control,0.08139608282348386,0.05970365410755683,0.021692428715927026,0.5167934427189128,0.5646557719465096,-0.04786232922759681,0.09792312123827668,0.053045160941196864,0.044877960297079814,0.5053295979217347,0.5560200929836965,-0.05069049506196177
frozen_spo,joint_aux,301000003,lambda4,full,frozen_spo minus control,0.07196307726136039,0.04974712670934918,0.022215950552011213,0.5655663352438572,0.5777181084963217,-0.012151773252464415,0.09688301052245203,0.04686365765603712,0.05001935286641491,0.5655663352438572,0.5777181084963217,-0.012151773252464415
frozen_spo,joint_spo,301000001,lambda4,full,frozen_spo minus control,0.06998234233254219,0.06140918459351029,0.008573157739031903,0.5660346742029216,0.533123744268283,0.03291092993463862,0.09954481476563562,0.22733502748837336,-0.12779021272273774,0.5660346742029216,0.5305796832391931,0.035454990963728505
frozen_spo,joint_spo,301000002,lambda4,full,frozen_spo minus control,0.08139608282348386,0.09676967764138342,-0.015373594817899558,0.5167934427189128,0.5481559051420076,-0.03136246242309482,0.09792312123827668,0.21375598020649333,-0.11583285896821666,0.5053295979217347,0.5280264673556534,-0.022696869433918687
frozen_spo,joint_spo,301000003,lambda4,full,frozen_spo minus control,0.07196307726136039,0.04505971263088761,0.026903364630472784,0.5655663352438572,0.6157311618167376,-0.05016482657288035,0.09688301052245203,0.16708709348308642,-0.07020408296063439,0.5655663352438572,0.6085236164623717,-0.0429572812185145
frozen_spo,pretrained,301000001,lambda4,postcorrection,frozen_spo minus control,0.0759421367942262,0.08619014735645901,-0.010248010562232804,0.47630668182392316,0.47427829939324195,0.002028382430681208,0.10554308941071985,0.062288414047767464,0.04325467536295239,0.47630668182392316,0.47427829939324195,0.002028382430681208
frozen_spo,pretrained,301000002,lambda4,postcorrection,frozen_spo minus control,0.09270532029407169,0.06381747603355098,0.028887844260520712,0.424718538166814,0.48919409241248324,-0.06447555424566925,0.10151501704944767,0.05866491832229442,0.04285009872715325,0.424718538166814,0.4706755738939647,-0.04595703572715071
frozen_spo,pretrained,301000003,lambda4,postcorrection,frozen_spo minus control,0.08138065621633472,0.08715377484442281,-0.005773118628088089,0.4643264377172423,0.5068444135685515,-0.042517975851309175,0.09474756075540043,0.08183750870601336,0.012910052049387069,0.4643264377172423,0.4823850457758504,-0.018058608058608094
frozen_spo,frozen_aux,301000001,lambda4,postcorrection,frozen_spo minus control,0.0759421367942262,0.08560104164801424,-0.009658904853788036,0.47630668182392316,0.49126116327265756,-0.014954481448734402,0.10554308941071985,0.06347704869714586,0.04206604071357399,0.47630668182392316,0.48697544898694317,-0.01066876716302001
frozen_spo,frozen_aux,301000002,lambda4,postcorrection,frozen_spo minus control,0.09270532029407169,0.08415683862323785,0.008548481670833843,0.424718538166814,0.43246403660196764,-0.007745498435153653,0.10151501704944767,0.06198896839404043,0.03952604865540724,0.424718538166814,0.42817832231625336,-0.003459784149439371
frozen_spo,frozen_aux,301000003,lambda4,postcorrection,frozen_spo minus control,0.08138065621633472,0.08571515119705006,-0.0043344949807153366,0.4643264377172423,0.48260676743435366,-0.018280329717111354,0.09474756075540043,0.06323125687051799,0.03151630388488244,0.4643264377172423,0.4767337515613378,-0.012407313844095491
frozen_spo,joint_aux,301000001,lambda4,postcorrection,frozen_spo minus control,0.0759421367942262,0.05469742767548455,0.021244709118741656,0.47630668182392316,0.4921177120027695,-0.01581103017884633,0.10554308941071985,0.059707232404540185,0.04583585700617967,0.47630668182392316,0.4921177120027695,-0.01581103017884633
frozen_spo,joint_aux,301000002,lambda4,postcorrection,frozen_spo minus control,0.09270532029407169,0.0730143520312069,0.01969096826286479,0.424718538166814,0.4656461014506992,-0.04092756328388519,0.10151501704944767,0.05835720166772524,0.04315781538172243,0.424718538166814,0.4613603871649849,-0.03664184899817091
frozen_spo,joint_aux,301000003,lambda4,postcorrection,frozen_spo minus control,0.08138065621633472,0.05575189932213721,0.02562875689419751,0.4643264377172423,0.5194276030482927,-0.05510116533105042,0.09474756075540043,0.04929663541656695,0.04545092533883348,0.4643264377172423,0.5194276030482927,-0.05510116533105042
frozen_spo,joint_spo,301000001,lambda4,postcorrection,frozen_spo minus control,0.0759421367942262,0.06177874497835862,0.014163391815867586,0.47630668182392316,0.4565746471493598,0.01973203467456336,0.10554308941071985,0.21238761616479776,-0.1068445267540779,0.47630668182392316,0.45384231775036377,0.022464364073559395
frozen_spo,joint_spo,301000002,lambda4,postcorrection,frozen_spo minus control,0.09270532029407169,0.08058645002463027,0.012118870269441417,0.424718538166814,0.47936007372788986,-0.05464153556107587,0.10151501704944767,0.19797927846821808,-0.09646426141877042,0.424718538166814,0.4608076385087879,-0.036089100341973934
frozen_spo,joint_spo,301000003,lambda4,postcorrection,frozen_spo minus control,0.08138065621633472,0.05062666377266631,0.030753992443668415,0.4643264377172423,0.48423322526770796,-0.019906787550465654,0.09474756075540043,0.1771926018054687,-0.08244504105006827,0.4643264377172423,0.4815008958687119,-0.017174458151469618
