recording,arm,seed,learning_rate,horizon,status,standardized_rmse,physical_rmse_deg,standardized_sse,scalars,windows,per_joint_rmse_deg,error
recording_2021_12_15_21H_54M.mat,gru32,8102,0.001,64,PASS,0.6008950079586911,17.555189407864642,3050.3599998615787,8448,22,"[11.294238966542338, 4.757178182331984, 11.397728497518207, 23.435195771719776, 20.56543213425236, 24.43079732947101]",null
recording_2021_12_15_21H_54M.mat,gru32,8102,0.001,128,PASS,0.7298589317654076,21.61802572086371,9000.398842452727,16896,22,"[13.146074281967186, 4.785445217951121, 14.169047938581752, 30.06873596990369, 25.957719015706086, 28.80313320863863]",null
recording_2021_12_15_21H_54M.mat,householder,8102,0.003,64,PASS,0.5840451325319329,16.634459867203898,2881.686439815686,8448,22,"[17.271670219655093, 3.7525305976283376, 11.372611500030166, 27.669745788146777, 18.33242729438924, 10.807887747552357]",null
recording_2021_12_15_21H_54M.mat,householder,8102,0.003,128,PASS,0.6698555467103332,19.64096452863358,7581.3442376364965,16896,22,"[16.207658400145604, 3.8287486950901553, 13.128113701047294, 33.02345396630935, 22.76068150891539, 16.00977558685409]",null
recording_2021_12_15_21H_54M.mat,dense_bounded,8102,0.003,64,PASS,0.5778583252245416,17.271123802278648,2820.958221576525,8448,22,"[9.969649725244501, 4.586323549717082, 12.770748198196541, 28.90222429013861, 17.941027307410582, 18.681835715758456]",null
recording_2021_12_15_21H_54M.mat,dense_bounded,8102,0.003,128,PASS,0.6455409236895905,19.51405934733786,7040.9532299337325,16896,22,"[11.335137565185605, 4.979058542221392, 12.97090951537523, 32.431107691857136, 20.362213054209583, 22.290664984205495]",null
recording_2021_12_15_21H_54M.mat,dense_unbounded,8102,0.003,64,PASS,0.5338855168140342,15.489955731165377,2407.9650782988847,8448,22,"[9.531469724905737, 4.3004616296444205, 12.643456482841886, 26.6401360080998, 17.10264912265954, 12.970545115744404]",null
recording_2021_12_15_21H_54M.mat,dense_unbounded,8102,0.003,128,PASS,0.6071076292874356,18.11797867542581,6227.5221641151165,16896,22,"[11.564937077798628, 4.725995605785618, 12.724061695301126, 31.345379167080345, 18.966283371023444, 17.587770113233105]",null
recording_2021_12_15_21H_54M.mat,dense_mlp,8102,0.003,64,PASS,0.564510148069313,16.494505442034182,2692.1385830443114,8448,22,"[8.775557850095852, 4.377654892425272, 15.171435590002424, 29.612095109015723, 17.366540029564245, 11.295690927109122]",null
recording_2021_12_15_21H_54M.mat,dense_mlp,8102,0.003,128,PASS,0.6378947892690499,19.418821115198558,6875.1473417359275,16896,22,"[9.851315027178108, 4.454589252430485, 15.474029916412658, 36.594986930422735, 19.418191869515148, 13.782128358086226]",null
