block,regime,arm,choose_seconds,controller_seconds,environment_seconds,found,init_seconds,paid_controller_seconds,queries,setup_allocation_seconds,steps,update_seconds,success_percent,query_fraction
6,lambda4,neural,2.2224930303297956,2.2343778851964613,0.11705702257063849,1.0,6.961381455540017e-05,2.2343778851964613,63.05061364818385,0.009474599990519495,63.05061364818385,0.0023406410615903084,100.0,1.0
6,lambda4,period2,1.097336974299723,1.1137093077024833,0.10860333503228677,1.0,0.00029637466156441953,1.1137093077024833,28.76764711697816,0.009487579331685899,57.50055720403691,0.006588379409510188,100.0,0.5003020582026375
6,lambda4,random_pair,1.0297134253236595,1.0454274449979277,0.09872693759905271,1.0,0.0002767391579247982,1.0454274449979277,27.76764711697816,0.009487579331685899,55.570031263875734,0.005949701184657389,100.0,0.49968744817008953
6,lambda4,entropy,1.0054459692747606,1.0216235385187042,0.10524729031030992,1.0,0.0002789192917985804,1.1945008768641359,26.73291008705875,0.009487579331685899,57.98359995671014,0.006411070620459208,100.0,0.46104260699606825
7,lambda4,analytic,0.00582085061539799,0.007646562662790379,0.030320933100085223,1.0,0.00010884824424667318,0.007646562662790379,0.0,0.0011369144976924872,18.409470491370055,0.0005799493054532278,100.0,0.0
7,lambda4,neural,0.9492935716110613,0.9598855759832683,0.054256668890234054,1.0,9.619516648124738e-05,0.9598855759832683,24.995086500702254,0.009474599990519495,24.995086500702254,0.0010212092152062887,100.0,1.0
7,lambda4,period2,0.4325273216552379,0.4446655583619498,0.0389753474180098,1.0,0.0002958969672181222,0.4446655583619498,11.411108324469302,0.009487579331685899,21.856953678858016,0.002354760407807934,100.0,0.5220813701731517
7,lambda4,random_pair,1.1060550363201156,1.122435680502906,0.1075764009859067,1.0,0.0002709777616742059,1.122435680502906,28.748637150202974,0.009487579331685899,56.53201133032536,0.0066220870894303655,100.0,0.5085373131732427
7,lambda4,entropy,0.43077247606139807,0.44432325080757007,0.06328204464936295,1.0,0.00026655950701707354,0.6172005891530014,10.255610606381588,0.009487579331685899,31.44175439035682,0.0037966359074689975,100.0,0.3261780649723217
0,lambda5,analytic,0.024271373652511453,0.027933461187247044,0.1274828804456761,1.0,0.00010810023100899196,0.027933461187247044,0.0,0.0011369144976924872,73.45719765357349,0.002417072806034113,100.0,0.0
0,lambda5,neural,2.4024985219131936,2.414769669739313,0.12927974252626745,1.0,8.877007160152441e-05,2.414769669739313,65.92148695398254,0.009474599990519495,65.92148695398254,0.0027077777639984623,100.0,1.0
0,lambda5,period2,1.3167222975380346,1.3342857818730633,0.1301554016430765,1.0,0.0003191308461764508,1.3342857818730633,34.351878421812174,0.009487579331685897,68.588691126603,0.007756774157166383,100.0,0.500838809686636
0,lambda5,random_pair,0.6045871717326821,0.6182153680558896,0.05828400489975197,1.0,0.0005060743705070859,0.6182153680558896,15.4869951976999,0.009487579331685897,31.08905611242116,0.0036345426210145724,100.0,0.4981494176502935
0,lambda5,entropy,0.8961798728385042,0.9140248133206006,0.12901740650546997,1.0,0.0002811370449288858,1.086902151666032,22.792574463248137,0.009487579331685897,69.04895399468845,0.00807622410548152,100.0,0.33009297237147783
1,lambda5,analytic,0.02929619109335085,0.033264963739098784,0.14560125603845608,1.0,0.00012558111693839995,0.033264963739098784,0.0,0.0011369144976924872,87.27707221256938,0.0027062770311170447,100.0,0.0
1,lambda5,neural,2.449413442614926,2.4615522128063416,0.13251148999609472,1.0,7.12259007642543e-05,2.4615522128063416,66.17762799262546,0.009474599990519495,66.17762799262546,0.002592944300132113,100.0,1.0
1,lambda5,period2,2.2811040533753197,2.3057222836566416,0.2593879747519642,1.0,0.00025645010994242097,2.3057222836566416,52.45534907407967,0.009487579331685897,104.0257638651807,0.014874200839693284,100.0,0.5042534380431252
1,lambda5,random_pair,2.7206779888400963,2.7467644396150144,0.2830893711594619,1.0,0.0003349392441078732,2.7467644396150144,67.46404356098955,0.009487579331685897,134.10547662180716,0.01626393219912416,100.0,0.5030670279875735
1,lambda5,entropy,1.7606325349418872,1.7841908301221057,0.22816608470633876,1.0,0.0003188110060102287,1.957068168467537,45.54440518650084,0.009487579331685897,125.0108650931175,0.013751904842522606,100.0,0.3643235742155367
