initialization,arm,mode,size,success,wrong_goal,timeout,mean_return,mean_length
zero,fast_selective,intact,23,0.4973958333333333,0.5026041666666666,0.0,0.4204549153645834,22.0
zero,fast_selective,native_start,11,0.5052083333333334,0.4947916666666667,0.0,0.48237508138020835,6.46875
zero,fast_selective,native_start,17,0.515625,0.484375,0.0,0.47896728515625003,10.078125
zero,fast_selective,native_start,23,0.4973958333333333,0.5026041666666666,0.0,0.4556111653645833,12.2109375
zero,fast_selective,reset_all,11,0.5052083333333334,0.4947916666666667,0.0,0.4696858723958333,10.0
zero,fast_selective,reset_all,17,0.515625,0.484375,0.0,0.45761718749999997,16.0
zero,fast_selective,reset_all,23,0.4973958333333333,0.5026041666666666,0.0,0.4204549153645834,22.0
zero,fast_selective,reset_store,11,0.5052083333333334,0.4947916666666667,0.0,0.4696858723958333,10.0
zero,fast_selective,reset_store,17,0.515625,0.484375,0.0,0.45761718749999997,16.0
zero,fast_selective,reset_store,23,0.4973958333333333,0.5026041666666666,0.0,0.4204549153645834,22.0
zero,feedforward,cue_swapped,11,0.5052083333333334,0.4947916666666667,0.0,0.4696858723958333,10.0
zero,feedforward,cue_swapped,17,0.515625,0.484375,0.0,0.45761718749999997,16.0
zero,feedforward,cue_swapped,23,0.4973958333333333,0.5026041666666666,0.0,0.4204549153645834,22.0
zero,feedforward,intact,11,0.5052083333333334,0.4947916666666667,0.0,0.4696858723958333,10.0
zero,feedforward,intact,17,0.515625,0.484375,0.0,0.45761718749999997,16.0
zero,feedforward,intact,23,0.4973958333333333,0.5026041666666666,0.0,0.4204549153645834,22.0
zero,feedforward,native_start,11,0.5052083333333334,0.4947916666666667,0.0,0.48237508138020835,6.46875
zero,feedforward,native_start,17,0.515625,0.484375,0.0,0.47896728515625003,10.078125
zero,feedforward,native_start,23,0.4973958333333333,0.5026041666666666,0.0,0.4556111653645833,12.2109375
zero,feedforward,reset_all,11,0.5052083333333334,0.4947916666666667,0.0,0.4696858723958333,10.0
zero,feedforward,reset_all,17,0.515625,0.484375,0.0,0.45761718749999997,16.0
zero,feedforward,reset_all,23,0.4973958333333333,0.5026041666666666,0.0,0.4204549153645834,22.0
zero,gru,cue_swapped,11,0.171875,0.16145833333333334,0.6666666666666666,0.1597900390625,88.66666666666667
zero,gru,cue_swapped,17,0.18229166666666666,0.15104166666666666,0.6666666666666666,0.16178385416666666,90.66666666666667
zero,gru,cue_swapped,23,0.1640625,0.16927083333333334,0.6666666666666666,0.13868408203125002,92.66666666666667
zero,gru,intact,11,0.171875,0.16145833333333334,0.6666666666666666,0.1597900390625,88.66666666666667
zero,gru,intact,17,0.18229166666666666,0.15104166666666666,0.6666666666666666,0.16178385416666666,90.66666666666667
zero,gru,intact,23,0.1640625,0.16927083333333334,0.6666666666666666,0.13868408203125002,92.66666666666667
zero,gru,native_start,11,0.171875,0.16145833333333334,0.6666666666666666,0.164202880859375,87.48958333333333
zero,gru,native_start,17,0.18229166666666666,0.15104166666666666,0.6666666666666666,0.1692545572916667,88.69270833333333
zero,gru,native_start,23,0.1640625,0.16927083333333334,0.6666666666666666,0.15089721679687498,89.40364583333333
zero,gru,reset_all,11,0.171875,0.16145833333333334,0.6666666666666666,0.1597900390625,88.66666666666667
zero,gru,reset_all,17,0.18229166666666666,0.15104166666666666,0.6666666666666666,0.16178385416666666,90.66666666666667
zero,gru,reset_all,23,0.1640625,0.16927083333333334,0.6666666666666666,0.13868408203125002,92.66666666666667
zero,random,intact,11,0.0078125,0.0234375,0.96875,0.00330810546875,127.390625
zero,random,intact,17,0.0,0.0,1.0,0.0,128.0
zero,random,intact,23,0.0,0.0,1.0,0.0,128.0
