baseline_family,candidate_family,contrast,group,scope,seed,episodes,normalization_rows,normalization_supported_episodes,rows,supported_episodes,weight_mass,cell,cell_statistics.baseline.agreement,cell_statistics.baseline.legal_centered_mse,cell_statistics.baseline.near_mixed_wrong_mass,cell_statistics.baseline.near_no_best_mass,cell_statistics.baseline.pair_mse_best_best,cell_statistics.baseline.pair_mse_best_rest,cell_statistics.baseline.pair_mse_rest_rest,cell_statistics.baseline.raw_gap,cell_statistics.candidate.agreement,cell_statistics.candidate.legal_centered_mse,cell_statistics.candidate.near_mixed_wrong_mass,cell_statistics.candidate.near_no_best_mass,cell_statistics.candidate.pair_mse_best_best,cell_statistics.candidate.pair_mse_best_rest,cell_statistics.candidate.pair_mse_rest_rest,cell_statistics.candidate.raw_gap,cell_statistics.delta.agreement,cell_statistics.delta.legal_centered_mse,cell_statistics.delta.near_mixed_wrong_mass,cell_statistics.delta.near_no_best_mass,cell_statistics.delta.pair_mse_best_best,cell_statistics.delta.pair_mse_best_rest,cell_statistics.delta.pair_mse_rest_rest,cell_statistics.delta.raw_gap,cell_statistics.mass,cell_statistics.rows,cell_statistics.teacher_margin.conditional_mean,cell_statistics.teacher_margin.contribution,cell_statistics.teacher_margin.mass,cell_statistics.teacher_margin.rows
gru_separate_mse,gru_separate_aux,gru.separate_mse_to_separate_aux,lambda3/case0,post_age3,285000003,3,565,3,565,3,1.0,WC,0.0,0.00013131341619801982,0.0,0.0036630036630036634,0.0,7.417065992123581e-05,5.7142756276784025e-05,8.178747035062648e-05,0.0036630036630036634,5.976365829582711e-05,0.0,0.0,0.0,2.144100944493291e-05,3.83226488508942e-05,0.0,0.0036630036630036634,-7.154975790219272e-05,0.0,-0.0036630036630036634,0.0,-5.27296504763029e-05,-1.8820107425889825e-05,-8.178747035062648e-05,0.0036630036630036634,6,0.022327979405721027,8.178747035062648e-05,0.0036630036630036634,6
gru_separate_mse,gru_separate_aux,gru.separate_mse_to_separate_aux,lambda3/case0,post_age3,285000003,3,565,3,565,3,1.0,WW,0.0,0.022148482307237163,0.0,0.1791264291264291,0.0,0.013588041574714708,0.008560440732522455,0.02547364152090466,0.0,0.02054443846198588,0.0,0.1791264291264291,0.0,0.013097792859913462,0.007446645602072417,0.02547364152090466,0.0,-0.0016040438452512862,0.0,0.0,0.0,-0.0004902487148012474,-0.0011137951304500382,0.0,0.1791264291264291,13,0.13763076913716904,0.024653308213465033,0.1791264291264291,13
gru_separate_mse,gru_separate_aux,gru.separate_mse_to_separate_aux,lambda3/case1,post_age3,285000003,3,546,1,546,1,0.3333333333333333,CC,0.2905982905982906,0.018619745130326784,0.0,0.0,0.0,0.0074567685263342695,0.011162976603992514,0.0,0.2905982905982906,0.019710669047774722,0.0,0.0,0.0,0.0077341289043359,0.011976540143438822,0.0,0.0,0.0010909239174479377,0.0,0.0,0.0,0.0002773603780016308,0.000813563539446308,0.0,0.2905982905982906,476,1.0667425641993515,0.3099935656647688,0.2905982905982906,476
gru_separate_mse,gru_separate_aux,gru.separate_mse_to_separate_aux,lambda3/case1,post_age3,285000003,3,546,1,546,1,0.3333333333333333,CW,0.015262515262515262,0.00029685493555935095,0.0,0.0,0.0,9.755477543812136e-05,0.00019930016012122958,0.0,0.0,0.0007156171912145011,0.0,0.015262515262515262,0.0,0.0004035678269386346,0.00031204936427586653,0.0003279689176324232,-0.015262515262515262,0.00041876225565515014,0.0,0.015262515262515262,0.0,0.00030601305150051327,0.00011274920415463694,0.0003279689176324232,0.015262515262515262,25,0.02148852348327637,0.0003279689176324232,0.015262515262515262,25
gru_separate_mse,gru_separate_aux,gru.separate_mse_to_separate_aux,lambda3/case1,post_age3,285000003,3,546,1,546,1,0.3333333333333333,WC,0.0,0.0006938815982169134,0.0,0.0115995115995116,0.0,0.00040137169728868185,0.00029250990092823153,0.0012306396341149187,0.0115995115995116,0.0006377503740357061,0.0,0.0,0.0,0.0002834633168781928,0.0003542870571575134,0.0,0.0115995115995116,-5.61312241812073e-05,0.0,-0.0115995115995116,0.0,-0.00011790838041048904,6.177715622928189e-05,-0.0012306396341149187,0.0115995115995116,19,0.10609409056211773,0.0012306396341149187,0.0115995115995116,19
gru_separate_mse,gru_separate_aux,gru.separate_mse_to_separate_aux,lambda3/case1,post_age3,285000003,3,546,1,546,1,0.3333333333333333,WW,0.0,0.0005313108022967241,0.0,0.015873015873015872,0.0,0.00023964249972434806,0.000291668302572376,0.0005516487745720534,0.0,0.0017017106424226031,0.0,0.015873015873015872,0.0,0.0008865819269226898,0.0008151287154999133,0.0005516487745720534,0.0,0.0011703998401258792,0.0,0.0,0.0,0.0006469394271983417,0.0005234604129275372,0.0,0.015873015873015872,26,0.03475387279803936,0.0005516487745720534,0.015873015873015872,26
gru_separate_mse,gru_separate_aux,gru.separate_mse_to_separate_aux,lambda3/case2,post_age3,285000003,3,547,2,547,2,0.6666666666666666,CC,0.5,0.18273071013107908,0.0,0.0,0.0,0.10130287687222535,0.08142783325885374,0.0,0.5,0.176473420185168,0.0,0.0,0.0,0.11076075132797532,0.06571266885719272,0.0,0.0,-0.006257289945911043,0.0,0.0,0.0,0.009457874455749972,-0.015715164401661017,0.0,0.5,274,1.4189490363711403,0.7094745181855702,0.5,274
gru_separate_mse,gru_separate_aux,gru.separate_mse_to_separate_aux,lambda3/case2,post_age3,285000003,3,547,2,547,2,0.6666666666666666,CW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0
gru_separate_mse,gru_separate_aux,gru.separate_mse_to_separate_aux,lambda3/case2,post_age3,285000003,3,547,2,547,2,0.6666666666666666,WC,0.0,1.8241482716071264e-05,0.0,0.0006105006105006105,0.0,7.542324435565223e-06,1.0699158280506039e-05,2.91109376192384e-10,0.0006105006105006105,7.597568312953754e-06,0.0,0.0,0.0,2.944125049161207e-06,4.653443263792547e-06,0.0,0.0006105006105006105,-1.064391440311751e-05,0.0,-0.0006105006105006105,0.0,-4.5981993864040165e-06,-6.045715016713492e-06,-2.91109376192384e-10,0.0006105006105006105,1,4.76837158203125e-07,2.91109376192384e-10,0.0006105006105006105,1
gru_separate_mse,gru_separate_aux,gru.separate_mse_to_separate_aux,lambda3/case2,post_age3,285000003,3,547,2,547,2,0.6666666666666666,WW,0.0,0.0448459489680455,0.0,0.16605616605616605,0.0,0.04320157907390879,0.0016443698941367088,0.009188399355635684,0.0,0.03517331937417827,0.0,0.16605616605616605,0.0,0.033688983228634166,0.0014843361455441119,0.009188399355635684,0.0,-0.009672629593867227,0.0,0.0,0.0,-0.009512595845274632,-0.00016003374859259686,0.0,0.16605616605616605,272,0.05533308141371784,0.009188399355635684,0.16605616605616605,272
