family,group,scope,seed,episodes,max_residuals.pair_mse,max_residuals.strict_margin,metrics.agreement,metrics.first_argmin_match,metrics.legal_centered_mse,metrics.near_all_best_mass,metrics.near_mixed_correct_mass,metrics.near_mixed_wrong_mass,metrics.near_no_best_mass,metrics.pair_mse_best_best,metrics.pair_mse_best_rest,metrics.pair_mse_rest_rest,metrics.raw_gap,metrics.selection_differs_from_strict_mass,metrics.strict_argmin_error_difference,metrics.strict_argmin_prediction_margin,metrics.strict_argmin_raw_gap,rows,supported_episodes,teacher_margin.conditional_mean,teacher_margin.contribution,teacher_margin.mass,teacher_margin.rows,weight_mass
hold,lambda4/analytic,initial,,6,0.0,0.0,0.16666666666666666,0.0,0.07363696166128067,0.16666666666666666,0.0,0.5555555555555555,0.27777777777777773,9.473903143468002e-15,0.05716201043185581,0.016474951229415388,0.26189390818277997,0.0,-0.2618946499294705,-7.417466905381944e-07,0.26189390818277997,16,6,0.25325144661797416,0.25325144661797416,1.0,16,1.0
hold,lambda4/neural,initial,,6,0.0,0.0,0.27777777777777773,0.27777777777777773,0.04337725753613755,0.0,0.27777777777777773,0.3888888888888889,0.16666666666666666,5.0527483431829344e-14,0.025004699852833785,0.01837255768325324,0.18263509538438585,0.0,-0.18263525433010527,-1.5894571940104166e-07,0.18263509538438585,15,5,0.11213715871175128,0.09344763225979275,0.8333333333333334,15,0.8333333333333334
hold,lambda4/period4_hold,initial,,6,0.0,0.0,0.3333333333333333,0.3333333333333333,0.03885787401728496,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,5.0527483431829344e-14,0.021999672669611278,0.016858201347623156,0.13756259282430014,0.0,-0.13756275177001953,-1.5894571940104166e-07,0.13756259282430014,13,5,0.09217090606689453,0.07680908838907878,0.8333333333333334,13,0.8333333333333334
hold,lambda4/case0,initial,,3,0.0,0.0,0.6666666666666666,0.6666666666666666,0.010534561163189612,0.0,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.0,0.005579791705410268,0.004954769457779346,0.0573026869032118,0.0,-0.05730311075846354,-4.238552517361111e-07,0.0573026869032118,9,3,0.06453874376085068,0.06453874376085068,1.0,9,1.0
hold,lambda4/case1,initial,,3,0.0,0.0,0.1111111111111111,0.1111111111111111,0.05897155159459544,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.03588426599554218,0.023087285599053254,0.23051834106445312,0.0,-0.23051834106445312,0.0,0.23051834106445312,9,3,0.14531559414333767,0.14531559414333767,1.0,9,1.0
hold,lambda4/case2,initial,,3,0.0,0.0,0.0,0.0,0.055084281718955526,0.0,0.0,0.0,0.3333333333333333,0.0,0.04460702823934703,0.01047725347960851,0.19780402713351777,0.0,-0.19780434502495658,-3.178914388020833e-07,0.19780402713351777,3,1,0.5127134323120118,0.17090447743733725,0.3333333333333333,3,0.3333333333333333
hold,lambda4/case3,initial,,3,0.0,0.0,0.4444444444444444,0.4444444444444444,0.025393213091976775,0.0,0.4444444444444444,0.4444444444444444,0.1111111111111111,2.0210993372731737e-13,0.012963951875361897,0.012429261216412772,0.07821909586588542,0.0,-0.07821951972113715,-4.238552517361111e-07,0.07821909586588542,9,3,0.08235804239908855,0.08235804239908855,1.0,9,1.0
hold,lambda4/case4,initial,,3,0.0,0.0,0.0,0.0,0.06067953842962955,0.0,0.0,1.0,0.0,0.0,0.03747447596845177,0.02320506246117778,0.14707925584581164,0.0,-0.14707925584581164,0.0,0.14707925584581164,7,3,0.14707925584581164,0.14707925584581164,1.0,7,1.0
hold,lambda4/case5,initial,,3,0.0,0.0,0.3333333333333333,0.0,0.10108104043105944,0.3333333333333333,0.0,0.0,0.6666666666666666,1.8947806286936004e-14,0.07182325212448859,0.029257788306551902,0.45325978597005206,0.0,-0.45326073964436847,-9.5367431640625e-07,0.45325978597005206,7,3,0.23682022094726562,0.23682022094726562,1.0,7,1.0
hold,overall,postcorrection,,36,0.0,0.0,0.34131688284100564,0.34131688284100564,0.28702043313458003,0.3384081865989761,0.0029086962420295753,0.005413105413105413,0.45882556730144447,2.2306279888059583e-16,0.16422787631573998,0.12279255681883981,0.42211425920985907,0.0,-0.6637957168229672,-0.24168145761310825,0.42211425920985907,10237,29,0.4499608666463878,0.3624684759095902,0.8055555555555556,10237,0.8055555555555556
hold,lambda3,postcorrection,,18,0.0,0.0,0.4104637751786875,0.4104637751786875,0.3456593693659198,0.4069025216174339,0.003561253561253561,0.010826210826210826,0.41204334732843506,4.3841383289064383e-16,0.1880642041788322,0.15759516518708713,0.48495371321585146,0.0,-0.7354835837004353,-0.2505298704845838,0.48495371321585146,6755,15,0.4817243267144927,0.40143693892874394,0.8333333333333334,6755,0.8333333333333334
hold,lambda3/analytic,postcorrection,,6,0.0,0.0,0.44560185185185186,0.44560185185185186,0.13011650264775868,0.44560185185185186,0.0,0.0,0.2210648148148148,0.0,0.06481656623123075,0.06529993641652794,0.13710079424911076,0.0,-0.2473457906240991,-0.11024499637498836,0.13710079424911076,87,4,0.4004642053756839,0.2669761369171226,0.6666666666666666,87,0.6666666666666666
hold,lambda3/neural,postcorrection,,6,0.0,0.0,0.4684126984126984,0.4684126984126984,0.2982591263110455,0.4684126984126984,0.0,0.0,0.3649206349206349,0.0,0.18170313959673678,0.11655598671430872,0.33020922276708814,0.0,-0.6260215748870183,-0.29581235211993023,0.33020922276708814,82,5,0.5007663907777695,0.4173053256481413,0.8333333333333334,82,0.8333333333333334
hold,lambda3/period4_hold,postcorrection,,6,0.0,0.0,0.31737677527151215,0.31737677527151215,0.6086024791389552,0.30669301458775144,0.010683760683760682,0.03247863247863248,0.6501445922498554,1.3152414986719315e-15,0.31767290670852916,0.29092957243042467,0.9875511226313557,0.0,-1.3330833855901885,-0.3455322629588328,0.9875511226313557,6586,6,0.520029354220968,0.520029354220968,1.0,6586,1.0
hold,lambda3/case0,postcorrection,,3,0.0,0.0,0.3812047212047212,0.3812047212047212,0.3428567133808631,0.37998371998371994,0.001221001221001221,0.002442002442002442,0.6163532763532764,1.012169139259402e-16,0.1667328842613306,0.17612382911953242,0.5756962985976907,0.0,-0.8036023288356606,-0.2279060302379701,0.5756962985976907,1697,3,0.4552745856187123,0.4552745856187123,1.0,1697,1.0
hold,lambda3/case1,postcorrection,,3,0.0,0.0,0.7216117216117216,0.7216117216117216,0.4044585209748081,0.7203907203907204,0.001221001221001221,0.002442002442002442,0.2759462759462759,0.0,0.15979906681067985,0.24465945416412824,0.4116647766283677,0.0,-0.5187255483989459,-0.10706077177057821,0.4116647766283677,1640,3,0.3635385063881305,0.3635385063881305,1.0,1640,1.0
hold,lambda3/case2,postcorrection,,3,0.0,0.0,0.21794871794871795,0.21794871794871795,0.6463119687223411,0.21794871794871795,0.0,0.0,0.44871794871794873,2.891911826455434e-18,0.4385912929817797,0.2077206757405614,0.8556990368996008,0.0,-1.397212192470774,-0.5415131555711733,0.8556990368996008,1641,2,0.876701663956683,0.584467775971122,0.6666666666666666,1641,0.6666666666666666
hold,lambda3/case3,postcorrection,,3,0.0,0.0,0.798615984405458,0.798615984405458,0.05925576940070778,0.798615984405458,0.0,0.0,0.2013840155945419,0.0,0.026502663307020047,0.03275310609368773,0.028878400757995967,0.0,-0.08411778158146967,-0.05523938082347372,0.028878400757995967,80,3,0.35242879969799495,0.35242879969799495,1.0,80,1.0
hold,lambda3/case4,postcorrection,,3,0.0,0.0,0.27673483923483927,0.27673483923483927,0.4822115790707862,0.2578093203093203,0.018925518925518924,0.03785103785103785,0.685414122914123,0.0,0.26269071794606286,0.21952086112472335,0.7483554422418713,0.0,-1.1806443198017342,-0.43228887755986295,0.7483554422418713,1682,3,0.5509452192483514,0.5509452192483514,1.0,1682,1.0
