baseline_family,candidate_family,contrast,group,normalization_scope,phase,seed,episodes,normalization_rows,normalization_supported_episodes,rows,supported_episodes,weight_mass,cell,cell_statistics.baseline.agreement,cell_statistics.baseline.legal_centered_mse,cell_statistics.baseline.near_mixed_wrong_mass,cell_statistics.baseline.near_no_best_mass,cell_statistics.baseline.pair_mse_best_best,cell_statistics.baseline.pair_mse_best_rest,cell_statistics.baseline.pair_mse_rest_rest,cell_statistics.baseline.raw_gap,cell_statistics.candidate.agreement,cell_statistics.candidate.legal_centered_mse,cell_statistics.candidate.near_mixed_wrong_mass,cell_statistics.candidate.near_no_best_mass,cell_statistics.candidate.pair_mse_best_best,cell_statistics.candidate.pair_mse_best_rest,cell_statistics.candidate.pair_mse_rest_rest,cell_statistics.candidate.raw_gap,cell_statistics.delta.agreement,cell_statistics.delta.legal_centered_mse,cell_statistics.delta.near_mixed_wrong_mass,cell_statistics.delta.near_no_best_mass,cell_statistics.delta.pair_mse_best_best,cell_statistics.delta.pair_mse_best_rest,cell_statistics.delta.pair_mse_rest_rest,cell_statistics.delta.raw_gap,cell_statistics.mass,cell_statistics.rows,cell_statistics.teacher_margin.conditional_mean,cell_statistics.teacher_margin.contribution,cell_statistics.teacher_margin.mass,cell_statistics.teacher_margin.rows
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case2,full,initial,285000002,3,5,1,3,1,0.19999999999999998,CW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case2,full,initial,285000002,3,5,1,3,1,0.19999999999999998,WC,0.0,0.000231105731969213,0.0,0.06666666666666667,0.0,0.00010028808413835577,0.00013081764783085721,6.357828776041667e-08,0.06666666666666667,0.0028094410498852086,0.0,0.0,0.0,0.0016009643182239113,0.0012084767316612973,0.0,0.06666666666666667,0.002578335317915996,0.0,-0.06666666666666667,0.0,0.0015006762340855552,0.0010776590838304401,-6.357828776041667e-08,0.06666666666666667,1,9.5367431640625e-07,6.357828776041667e-08,0.06666666666666667,1
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case2,full,initial,285000002,3,5,1,3,1,0.19999999999999998,WW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case3,full,initial,285000002,3,1670,3,9,3,0.14276624726673118,CC,0.04758874908891039,0.0005745009341616188,0.0,0.0,7.249051688634032e-06,0.00018768417379870094,0.00037956770867428384,0.0,0.04758874908891039,0.0023417260693805128,0.0,0.0,1.4272775952709877e-05,0.0012063558810709038,0.0011210974123568988,0.0,0.0,0.001767225135218894,0.0,0.0,7.023724264075845e-06,0.001018671707272203,0.000741529703682615,0.0,0.04758874908891039,3,0.10838335063690806,0.005157828078875214,0.04758874908891039,3
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case3,full,initial,285000002,3,1670,3,9,3,0.14276624726673118,CW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case3,full,initial,285000002,3,1670,3,9,3,0.14276624726673118,WC,0.0,0.0007235815296048209,0.0,0.027777777777777776,0.0,0.0001948508461787747,0.0005287306834260462,0.0026419957478841147,0.027777777777777776,0.0019907642253100574,0.0,0.0,0.0,0.0007476927964691842,0.0012430714288408733,0.0,0.027777777777777776,0.0012671826957052366,0.0,-0.027777777777777776,0.0,0.0005528419502904095,0.000714340745414827,-0.0026419957478841147,0.027777777777777776,1,0.09511184692382814,0.0026419957478841147,0.027777777777777776,1
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case3,full,initial,285000002,3,1670,3,9,3,0.14276624726673118,WW,0.0,0.0007332429761771957,0.0,0.06739972040004301,0.0,0.00032141394221265744,0.0004118290339645382,0.004235538593837428,0.0,0.0020296030178324465,0.0,0.06739972040004301,0.0,0.000668823426658422,0.0013607795911740243,0.004235538593837428,0.0,0.0012963600416552505,0.0,0.0,0.0,0.0003474094844457646,0.0009489505572094861,0.0,0.06739972040004301,5,0.06284207959169405,0.004235538593837428,0.06739972040004301,5
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case4,full,initial,285000002,3,18,3,7,3,0.5761904761904763,CC,0.5428571428571428,0.004661304302722902,0.0,0.0,3.766553486565542e-05,0.0028739642489337518,0.0017496745189234952,0.0,0.5428571428571428,0.011357719680941208,0.0,0.0,0.0025586695580787342,0.005410728357687893,0.00338832176517458,0.0,0.0,0.0066964153782183055,0.0,0.0,0.002521004023213079,0.0025367641087541415,0.0016386472462510853,0.0,0.5428571428571428,6,0.10733688923350553,0.05826859701247442,0.5428571428571428,6
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case4,full,initial,285000002,3,18,3,7,3,0.5761904761904763,CW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case4,full,initial,285000002,3,18,3,7,3,0.5761904761904763,WC,0.0,0.0008931716541079974,0.0,0.03333333333333333,0.0,0.00029252719234591497,0.0006006444617620825,0.007176526387532553,0.03333333333333333,0.0011926534366997052,0.0,0.0,0.0,0.0005644279142340262,0.000628225522465679,0.0,0.03333333333333333,0.00029948178259170773,0.0,-0.03333333333333333,0.0,0.00027190072188811124,2.7581060703596493e-05,-0.007176526387532553,0.03333333333333333,1,0.2097034454345703,0.006990114847819011,0.03333333333333333,1
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case4,full,initial,285000002,3,18,3,7,3,0.5761904761904763,WW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case5,full,initial,285000002,3,1648,3,7,3,0.5006093845216332,CC,0.44485070079219985,0.007916138816842232,0.0,0.0,5.972577170857511e-05,0.0031143308755231147,0.004742082169610542,0.0,0.44485070079219985,0.016705036690345985,0.0,0.0,0.0009797980998142994,0.0077162366738574685,0.008009001916674216,0.0,0.0,0.008788897873503752,0.0,0.0,0.0009200723281057245,0.004601905798334354,0.0032669197470636744,0.0,0.44485070079219985,5,0.3688054263319599,0.1640633523597384,0.44485070079219985,5
innovation_separate_mse,gru_separate_mse,innovation_to_gru.separate_mse,lambda4/case5,full,initial,285000002,3,1648,3,7,3,0.5006093845216332,CW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0
